,brier,brier,brier,brier,log_loss,log_loss,log_loss,log_loss,mae,mae,mae,mae
model,hierarchical_bayes,improved_kalman,kalman_diffusion,poll_average,hierarchical_bayes,improved_kalman,kalman_diffusion,poll_average,hierarchical_bayes,improved_kalman,kalman_diffusion,poll_average
date,,,,,,,,,,,,
2016-09-01,0.1171,0.1682,0.2371,0.0964,0.385,0.5921,0.8534,0.3176,0.0771,0.0697,0.703,0.0564
2016-09-11,0.097,0.1524,0.2198,0.0801,0.3285,0.5509,0.7858,0.2712,0.0771,0.0748,0.2577,0.0576
2016-09-21,0.0884,0.1463,0.2188,0.0755,0.3023,0.536,0.7721,0.2614,0.0709,0.0753,0.2754,0.0594
2016-09-30,0.0876,0.1384,0.1869,0.0887,0.2919,0.5032,0.6633,0.2966,0.0848,0.0772,0.25,0.0788
2016-10-10,0.0895,0.1376,0.143,0.1031,0.2721,0.5089,0.5046,0.3439,0.0662,0.076,0.1989,0.0844
2016-10-19,0.0919,0.1393,0.1769,0.1154,0.2872,0.5189,0.6212,0.384,0.0794,0.0844,0.1981,0.0864
2016-10-29,0.0874,0.1315,0.1624,0.086,0.2667,0.5099,0.6475,0.2898,0.0735,0.0762,0.1211,0.0637
2016-11-07,0.0603,0.1275,0.1433,0.0789,0.1879,0.5029,0.5466,0.2634,0.0606,0.0759,0.1028,0.0552
